MAP_UNIT_S,map_unit_n
331M,Missouri Plateau
331N,Belt Mountains
332A,Northeastern Glaciated Plains
332B,Western Glaciated Plains
332C,Nebraska Sand Hills
332D,North Central Great Plains
332E,South Central Great Plains
332F,South Central and Red Bed Plains
341A,Bonneville Basin
341B,Northern Canyonlands
341C,Uinta Basin
341D,Mono
341E,Northern Mono
341F,Southeastern Great Basin
341G,Northeastern Great Basin
342A,Bighorn Basin
342B,Northwestern Basin and Range
342C,Owyhee Uplands
342D,Snake River Basalts and Basins
342E,Bear Lake
342F,Central Basin and Hills
342G,Green River Basin
342H,Blue Mountain Foothills
342I,Columbia Basin
342J,Eastern Basin and Range
411A,Everglades
M211A,White Mountains
M211B,New England Piedmont
M211C,Green-Taconic-Berkshire Mountains
M211D,Adirondack Highlands
M221A,Northern Ridge and Valley
M221B,Allegheny Mountains
M221C,Northern Cumberland Mountains
M221D,Blue Ridge Mountains
M223A,Boston Mountains
M231A,Ouachita Mountains
M242A,Oregon and Washington Coast Ranges
M242B,Western Cascades
M242C,Eastern Cascades
M242D,Northern Cascades
M261A,Klamath Mountains
M261B,Northern California Coast Ranges
M261C,Northern California Interior Coast Ranges
M261D,Southern Cascades
M261E,Sierra Nevada
M261F,Sierra Nevada Foothills
M261G,Modoc Plateau
M262A,Central California Coast Ranges
M262B,Southern California Mountain and Valley
M313A,White Mountains - San Francisco Peaks - Mongollon Rim
M313B,Sacramento-Monzano Mountains
M331A,Yellowstone Highlands
M331B,Bighorn Mountains
M331D,Overthrust Mountains
M331E,Uinta Mountains
M331F,Southern Parks and Rocky Mountain Range
M331G,South Central Highlands
M331H,North Central Highlands and Rocky Mountains
M331I,Northern Parks and Ranges
M331J,Wind River Mountains
M332A,Idaho Batholith
M332B,Northern Rockies and Bitterroot Valley
M332D,Belt Mountains
M332E,Beaverhead Mountains
M332F,Challis Volcanics
M332G,Blue Mountains
M333A,Okanogan Highland
M333B,Flathead Valley
M333C,Northern Rockies
M333D,Bitterroot Mountains
M334A,Black Hills
M341A,East Great Basin and Mountains
M341B,Tavaputs Plateau
M341C,Utah High Plateau
M341D,West Great Basin and Mountains
Water,Water
(blank),(blank)
